BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,YR_RMDL,SALEDATE,PRICE,SALE_NUM,GBA,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,CENSUS_TRACT
2,1,Y,1,6,3,1989,1/4/16 0:00,790000,3,1614,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,0,1182,621 6TH STREET NE,WASHINGTON,DC,20002,8302
2,1,Y,1,7,3,2012,1/4/16 0:00,1300000,3,2063,Superior,Good,Stucco,Metal- Sms,Hardwood,1,2,1765,3213 VOLTA PLACE NW,WASHINGTON,DC,20007,202
3,1,Y,1,10,3,2015,1/4/16 0:00,755000,4,1196,Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,1611,326 16TH STREET SE,WASHINGTON,DC,20003,6802
3,1,Y,1,8,4,,1/4/16 0:00,1020000,3,2440,Very Good,Average,Brick/Siding,Comp Shingle,Hardwood,1,1,6625,3510 RODMAN STREET NW,WASHINGTON,DC,20008,600
3,1,N,2,12,9,2007,1/4/16 0:00,,4,2814,Very Good,Average,Common Brick,Metal- Sms,Hardwood,2,0,1943,1743 KILBOURNE PLACE NW,WASHINGTON,DC,20010,2702
2,0,N,1,7,4,,1/4/16 0:00,,2,2398,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,3054,1621 WEBSTER STREET NW,WASHINGTON,DC,20011,2600
2,1,Y,1,6,4,2017,1/4/16 0:00,550000,3,1865,Above Average,Average,Common Brick,Clay Tile,Hardwood,1,0,7660,6501 PINEY BRANCH ROAD NW,WASHINGTON,DC,20012,1901
4,2,Y,2,10,5,2007,1/4/16 0:00,,4,2496,Above Average,Good,Common Brick,Built Up,Hardwood,2,0,1500,21 QUINCY PLACE NW,WASHINGTON,DC,20001,3302
1,1,Y,1,8,3,2003,1/4/16 0:00,645000,4,1400,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,1700,619 VARNUM STREET NW,WASHINGTON,DC,20011,2400
2,0,N,1,8,5,,1/4/16 0:00,,3,1116,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,1698,420 GALLATIN STREET NW,WASHINGTON,DC,20011,2202
3,1,Y,1,7,4,2015,1/4/16 0:00,920000,4,1616,Above Average,Very Good,Common Brick,Built Up,Wood Floor,1,0,1517,133 ADAMS STREET NW,WASHINGTON,DC,20001,3301
3,0,N,1,7,3,1987,1/4/16 0:00,799900,4,1786,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,2475,4018 ILLINOIS AVENUE NW,WASHINGTON,DC,20011,2301
