Total Bathrooms,AC,NUM_UNITS,ROOMS,BEDRM,RMDL_10,SALEDATE,PRICE,SALE_NUM,GBA,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,ZIPCODE,Census,X,Y,grade_5_english_75_N,grade_5_english_25_N,grade_5_math_75_N,grade_5_math_25_N,grade_8_english_75_N,grade_8_english_25_N,grade_8_math_75_N,grade_8_math_25_N,grade_9_12_english_75_N,grade_9_12_english_25_N,grade_9_12_math_75_N,grade_9_12_math_25_N,Starbucks_count_N,McDonalds_count_N,Population_size,Percent_White,Percent_Black,Percent_AmInd,Percent_Asian,Percent_HI_PI,Percent_Other_mixed,Percent_Hispanic,Percent_18plus,Total_Hounting_Units,Percent_Occupied,Percent_Vacant,FAGI_Total,FAGI_Median,Crime,,,,
1,N,1,6,3,No,5/23/16 0:00,880000,4,1248,Poor,1,0,2325,809 HOWARD ROAD SE,20020,7400.01,-76.99816054,38.8640406,0,0,0,0,0,1,0,1,0,0.25,0,0.25,0,0,2414,0.007042254,0.973073737,0.004142502,0.002071251,0,0.01988401,0.012841756,0.608119304,935,0.82459893,0.17540107,15637219,17739,357.8039767,,,,
1,N,1,6,3,No,5/23/16 0:00,880000,4,1170,Poor,1,0,2300,811 HOWARD ROAD SE,20020,7400.01,-76.99816054,38.8640406,0,0,0,0,0,1,0,1,0,0.25,0,0.25,0,0,2414,0.007042254,0.973073737,0.004142502,0.002071251,0,0.01988401,0.012841756,0.608119304,935,0.82459893,0.17540107,15637219,17739,357.8039767,,,,
1,N,1,6,3,No,5/23/16 0:00,880000,4,1248,Poor,1,0,2797,813 HOWARD ROAD SE,20020,7400.01,-76.99816054,38.8640406,0,0,0,0,0,1,0,1,0,0.25,0,0.25,0,0,2414,0.007042254,0.973073737,0.004142502,0.002071251,0,0.01988401,0.012841756,0.608119304,935,0.82459893,0.17540107,15637219,17739,357.8039767,,,,
1,N,1,5,2,No,10/25/16 0:00,200000,3,924,Average,1,0,2301,2641 WADE ROAD SE,20020,7400.01,-76.99889036,38.86009544,0,0,0,0,0,1,0,1,0,0.25,0,0.25,0,0,2414,0.007042254,0.973073737,0.004142502,0.002071251,0,0.01988401,0.012841756,0.608119304,935,0.82459893,0.17540107,15637219,17739,357.8039767,,,,
1.5,N,1,8,3,No,11/2/16 0:00,74665,2,1224,Average,1,0,1739,1113 CHICAGO STREET SE,20020,7400.01,-76.99242258,38.86427664,0,0,0,0,0,1,0,1,0,0.25,0,0.25,0,0,2414,0.007042254,0.973073737,0.004142502,0.002071251,0,0.01988401,0.012841756,0.608119304,935,0.82459893,0.17540107,15637219,17739,357.8039767,,,,
4,Y,4,20,12,Yes,6/15/16 0:00,509000,5,3600,Good,4,0,6781,3205 BUENA VISTA TERRACE SE,20020,7400.08,-76.9654033,38.85072623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3038,0.010533246,0.97564187,0.002304147,0.001316656,0,0.015470704,0.010533246,0.667215273,1239,0.849878935,0.150121065,24612841,19793.5,826.3220136,,,,
4,N,4,16,10,No,3/16/16 0:00,96732,5,3600,Average,4,0,8259,3205 28TH STREET SE,20020,7400.08,-76.96946065,38.85077695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3038,0.010533246,0.97564187,0.002304147,0.001316656,0,0.015470704,0.010533246,0.667215273,1239,0.849878935,0.150121065,24612841,19793.5,826.3220136,,,,
2.5,Y,1,8,5,No,3/30/16 0:00,418000,3,2688,Average,1,0,15082,2528 ELVANS ROAD SE,20020,7400.06,-76.98780727,38.85386531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3063,0.006529546,0.974208293,0.001632387,0.000652955,0,0.023506366,0.023179889,0.597453477,1066,0.924015009,0.075984991,25139415,20219,1233.001481,,,,
1.5,Y,1,5,3,No,7/5/16 0:00,290000,3,1224,Average,1,0,1216,4609 6TH STREET SE,20032,9800.11,-77.00093532,38.82377817,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4365,0.002978236,0.972737686,0.002749141,0.00091638,0,0.032760596,0.008476518,0.674684994,1979,0.919151086,0.080848914,44315187,20516,1009.498773,,,,
1.5,Y,1,6,3,Yes,4/29/16 0:00,175000,2,1088,Good,1,0,1609,603 GALVESTON STREET SE,20032,9800.11,-76.99925565,38.82346224,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4365,0.002978236,0.972737686,0.002749141,0.00091638,0,0.032760596,0.008476518,0.674684994,1979,0.919151086,0.080848914,44315187,20516,1009.498773,,,,
