,,,,,,,,
,SCHOOL_YEAR,SCHOOL_NAME,ASSESSMENT_TYPE,SUBJECT,TESTED_GRADE_SUBJECT,SUBGROUP,PERCENT_MEETING_OR_EXCEEDING_E,CENSUS_TRACT
,2016-17,Achievement Preparatory Academy PCS Wahler Place Middle School,PARCC,ELA,Grade 8,All,39.30%,9800.01
,2016-17,Achievement Preparatory Academy PCS Wahler Place Middle School,PARCC,Math,Grade 5,All,10.30%,9800.01
,2016-17,Achievement Preparatory Academy PCS Wahler Place Middle School,PARCC,Math,Grade 8,All,17.90%,9800.01
,2016-17,Achievement Preparatory Academy PCS Wahler Place Middle School,PARCC,ELA,Grade 5,All,29.00%,9800.01
,2016-17,Aiton ES,PARCC,Math,Grade 5,All,19.20%,7800.04
,2016-17,Aiton ES,PARCC,ELA,Grade 5,All,23.10%,7800.04
,2016-17,Amidon Bowen ES,PARCC,ELA,Grade 5,All,4.20%,10200
,2016-17,Amidon Bowen ES,PARCC,Math,Grade 5,All,10.40%,10200
,2016-17,Anacostia HS,PARCC,Math,Grades 9-12,All,1.10%,7600.01
,2016-17,Anacostia HS,PARCC,ELA,Grades 9-12,All,3.80%,7600.01
,2016-17,Ballou HS,PARCC,Math,Grades 9-12,All,0.00%,9800.03
,2016-17,Ballou HS,PARCC,ELA,Grades 9-12,All,8.90%,9800.03
,2016-17,Bancroft ES at Sharpe,PARCC,Math,Grade 5,All,25.00%,2700.01
,2016-17,Bancroft ES at Sharpe,PARCC,ELA,Grade 5,All,29.40%,2700.01
,2016-17,Barnard ES,PARCC,Math,Grade 5,All,26.20%,2200.02
,2016-17,Barnard ES,PARCC,ELA,Grade 5,All,55.40%,2200.02
,2016-17,BASIS DC PCS,PARCC,ELA,Grade 5,All,55.30%,5800
,2016-17,BASIS DC PCS,PARCC,ELA,Grades 9-12,All,71.40%,5800
,2016-17,BASIS DC PCS,PARCC,Math,Grade 5,All,50.90%,5800
,2016-17,BASIS DC PCS,PARCC,ELA,Grade 8,All,46.70%,5800
,2016-17,BASIS DC PCS,PARCC,Math,Grade 8,All,59.60%,5800
,2016-17,BASIS DC PCS,PARCC,Math,Grades 9-12,All,72.60%,5800
,2016-17,Beers ES,PARCC,ELA,Grade 5,All,30.40%,7600.04
,2016-17,Beers ES,PARCC,Math,Grade 5,All,14.30%,7600.04
,2016-17,Benjamin Banneker HS,PARCC,ELA,Grades 9-12,All,89.90%,3500
,2016-17,Benjamin Banneker HS,PARCC,Math,Grades 9-12,All,53.80%,3500
,2016-17,Brightwood EC,PARCC,Math,Grades 9-12,All,22.20%,2000.02
,2016-17,Brightwood EC,PARCC,Math,Grade 8,All,2.30%,2000.02
,2016-17,Brightwood EC,PARCC,ELA,Grade 8,All,10.80%,2000.02
,2016-17,Brightwood EC,PARCC,ELA,Grade 5,All,28.00%,2000.02
,2016-17,Brightwood EC,PARCC,Math,Grade 5,All,48.00%,2000.02
,2016-17,Brookland MS,PARCC,ELA,Grade 8,All,9.10%,9500.04
,2016-17,Brookland MS,PARCC,Math,Grades 9-12,All,5.10%,9500.04
,2016-17,Brookland MS,PARCC,Math,Grade 8,All,0.00%,9500.04
,2016-17,Brookland MS,PARCC,Math,Grades 9-12,All,5.10%,9500.04
,2016-17,Browne EC,PARCC,ELA,Grade 5,All,10.00%,8900.04
,2016-17,Browne EC,PARCC,ELA,Grade 8,All,10.70%,8900.04
,2016-17,Browne EC,PARCC,Math,Grade 5,All,6.70%,8900.04
,2016-17,Browne EC,PARCC,Math,Grade 8,All,7.10%,8900.04
,2016-17,Bruce Monroe ES at Park View,PARCC,Math,Grade 5,All,25.50%,3200
,2016-17,Bruce Monroe ES at Park View,PARCC,ELA,Grade 5,All,17.00%,3200
,2016-17,Burroughs ES,PARCC,ELA,Grade 5,All,25.00%,9400
,2016-17,Burroughs ES,PARCC,Math,Grade 5,All,31.30%,9400
,2016-17,Burrville ES,PARCC,Math,Grade 5,All,9.70%,7800.07
,2016-17,Burrville ES,PARCC,ELA,Grade 5,All,19.40%,7800.07
,2016-17,C W  Harris ES,PARCC,Math,Grade 5,All,2.70%,9900.05
,2016-17,C W  Harris ES,PARCC,ELA,Grade 5,All,8.10%,9900.05
,2016-17,Capital City PCS High School,PARCC,ELA,Grades 9-12,All,29.20%,1900.02
,2016-17,Capital City PCS High School,PARCC,Math,Grades 9-12,All,7.00%,1900.02
,2016-17,Capital City PCS Middle School,PARCC,ELA,Grade 8,All,36.60%,1900.02
,2016-17,Capital City PCS Middle School,PARCC,Math,Grade 8,All,0.00%,1900.02
