CENSUS_TRACT,COUNT
5800,1369
4400,1053
10700,814
10600,644
5500,605
202,563
10100,521
3000,519
11100,515
5201,497
3500,486
9102,484
9603,480
2502,441
3100,437
8803,435
4702,427
4902,417
100,386
1001,373
7200,366
7000,356
3400,343
1804,316
2802,316
7601,316
9301,312
4300,312
4600,307
8802,294
10200,291
7803,290
2900,283
7603,277
10400,274
3800,273
4901,273
5301,272
4701,272
7503,269
4801,269
8302,269
10800,267
7901,256
5900,255
6900,249
8804,248
2002,246
9400,243
1100,243
3600,241
8402,240
7100,234
8904,231
5001,231
7304,231
7703,231
4202,230
3700,227
7707,225
9505,213
7804,213
7807,211
7409,205
6202,203
7401,200
4002,200
1901,200
6500,198
7806,198
5002,197
7604,196
7502,192
7504,191
9504,188
2101,186
1702,182
9811,182
7808,181
9807,181
2702,180
8301,176
3200,176
7406,176
8410,173
10900,168
9204,165
7404,165
8002,161
1600,161
4001,158
6400,157
9905,157
4201,157
9602,157
4802,152
4100,152
8001,151
6700,151
5600,149
9601,147
3301,146
3302,144
1200,143
2102,143
600,143
8702,142
7809,141
6600,141
9700,141
9810,140
3900,140
9804,137
9902,135
9803,133
6801,132
2400,132
8701,130
300,128
9904,125
9508,124
7708,122
8100,122
7408,122
2801,120
7407,120
7903,118
501,115
7605,115
9907,115
2701,114
8903,112
9501,110
7403,110
2501,110
11000,109
1902,108
9000,107
9604,104
9201,103
801,98
9903,95
8200,94
2202,93
10500,92
7709,91
9503,91
1500,89
1803,88
10300,87
2201,86
502,85
2600,85
9901,84
6802,83
9906,82
9801,81
9302,81
2001,79
901,70
9203,66
2301,64
1302,64
1402,62
400,61
2302,57
1002,52
9802,51
1401,50
802,45
902,44
9509,42
701,36
9507,36
6804,34
702,31
1301,27
201,26
7301,2
