House #,Total_Bathrooms,AC,Num_Units,Total_Rooms,Bedrooms,Remodel_10_Years,Sale_Date,Price,Sale_Num,Square_Footage,Condition,Exterior_Wall,Roof,Interior_Wall,Kitchens,Fireplaces,Land_Area,Census_track,grade_5_english_75_N,grade_5_english_25_N,grade_5_math_75_N,grade_5_math_25_N,grade_8_english_75_N,grade_8_english_25_N,grade_8_math_75_N,grade_8_math_25_N,grade_9_12_english_75_N,grade_9_12_english_25_N,grade_9_12_math_75_N,grade_9_12_math_25_N,Starbucks_count_N,McDonalds_count_N,Population_size,Percent_White,Percent_Black,Percent_AmInd,Percent_Asian,Percent_HI_PI,Percent_Other_mixed,Percent_Hispanic,Percent_18plus,Total_Housing_Units,Percent_Occupied,Percent_Vacant,FAGI_Total,FAGI_Median
1,2.5,Y,1,6,3,0,1/4/16 0:00,790000,3,1614,Good,Common Brick,Metal- Sms,Hardwood,1,0,1182,8300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2206,0.703989121,0.222121487,0.00543971,0.029918404,0.000906618,0.039891206,0.042611061,0.879419764,1032,0.936046512,0.063953488,148237948,80862
2,2.5,Y,1,7,3,1,1/4/16 0:00,1300000,3,2063,Good,Stucco,Metal- Sms,Hardwood,1,2,1765,200.02,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,2.098089151,0,5425,0.867281106,0.029308756,0.000921659,0.069124424,0.000552995,0.032995392,0.063225806,0.932903226,2143,0.902006533,0.097993467,429158437,115586
3,3.5,Y,1,10,3,1,1/4/16 0:00,755000,4,1196,Good,Common Brick,Metal- Sms,Hardwood,1,0,1611,6800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2084,0.449616123,0.490403071,0.002879079,0.018234165,0,0.048464491,0.045105566,0.841650672,1004,0.917330677,0.082669323,117623354,70190
4,3.5,Y,1,8,4,0,1/4/16 0:00,1020000,3,2440,Average,Brick/Siding,Comp Shingle,Hardwood,1,1,6625,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4539,0.85437321,0.04957039,0.002203128,0.045604759,0.000440626,0.048689139,0.073143864,0.839832562,2234,0.943598926,0.056401074,1101811669,103485
5,2.5,Y,1,6,4,1,1/4/16 0:00,550000,3,1865,Average,Common Brick,Clay Tile,Hardwood,1,0,7660,1900.01,0,0,0,0,0,1,1,1,0,0,0,0,3.367690625,0,4016,0.105577689,0.752739044,0.007719124,0.008964143,0.000747012,0.136205179,0.15562749,0.794322709,1603,0.937616968,0.062383032,119188692,42401
6,1.5,Y,1,8,3,0,1/4/16 0:00,645000,4,1400,Good,Common Brick,Metal- Sms,Hardwood,1,0,1700,2400,0,0,0,0,0,0.333333333,0,0,0.25,0.25,0,0.75,0,0,3618,0.219181868,0.633775567,0.004145937,0.016583748,0.000276396,0.12962963,0.189331122,0.815644002,1384,0.921242775,0.078757225,129540107,44564.5
7,3.5,Y,1,7,4,1,1/4/16 0:00,920000,4,1616,Very Good,Common Brick,Built Up,Wood Floor,1,0,1517,3300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3198,0.299874922,0.624765478,0.002188868,0.019387117,0.001250782,0.067229518,0.039086929,0.884302689,1578,0.890367554,0.109632446,152461285,64468
8,3,N,1,7,3,0,1/4/16 0:00,799900,4,1786,Average,Common Brick,Metal- Sms,Hardwood,1,0,2475,2300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2974,0.159381305,0.718560861,0.00672495,0.012441157,0.000672495,0.106926698,0.135171486,0.806321453,1168,0.915239726,0.084760274,104003314,43663
9,2,Y,1,7,5,0,1/4/16 0:00,399900,3,989,Average,Brick/Siding,Comp Shingle,Hardwood,1,1,4687,1700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,0.385779123,0.507564297,0.002269289,0.029878971,0.000378215,0.08698941,0.080181543,0.8596823,1312,0.9375,0.0625,118391616,59590
10,1.5,Y,1,7,3,0,1/4/16 0:00,360000,3,1188,Good,Common Brick,Comp Shingle,Hardwood,1,1,2068,9500.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2940,0.056122449,0.881632653,0.00170068,0.01122449,0,0.056122449,0.057482993,0.816326531,1320,0.953030303,0.046969697,94453371,50505
11,3.5,Y,1,7,3,0,1/4/16 0:00,642331,2,1584,Very Good,Common Brick,Comp Shingle,Hardwood,1,0,1619,9500.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630,0.05513308,0.864638783,0.001140684,0.009505703,0.002281369,0.07756654,0.076425856,0.835361217,1217,0.935086278,0.064913722,105022944,46330
12,3.5,Y,1,7,3,0,1/4/16 0:00,645610,2,1584,Very Good,Common Brick,Comp Shingle,Hardwood,1,0,1538,9500.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630,0.05513308,0.864638783,0.001140684,0.009505703,0.002281369,0.07756654,0.076425856,0.835361217,1217,0.935086278,0.064913722,105022944,46330
13,3.5,Y,1,7,3,0,1/4/16 0:00,671619,2,1584,Very Good,Common Brick,Comp Shingle,Hardwood,1,0,1353,9500.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630,0.05513308,0.864638783,0.001140684,0.009505703,0.002281369,0.07756654,0.076425856,0.835361217,1217,0.935086278,0.064913722,105022944,46330
14,3.5,Y,1,7,3,0,1/4/16 0:00,605927,2,1584,Very Good,Common Brick,Comp Shingle,Hardwood,3,0,837,9500.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630,0.05513308,0.864638783,0.001140684,0.009505703,0.002281369,0.07756654,0.076425856,0.835361217,1217,0.935086278,0.064913722,105022944,46330
15,3.5,Y,1,6,3,1,1/4/16 0:00,380000,3,1698,Average,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,5182,9100.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4127,0.028349891,0.925611825,0.002665374,0.003149988,0,0.043130603,0.04191907,0.736370245,1854,0.896440129,0.103559871,89120109.76,31903
16,1,N,1,6,3,0,1/4/16 0:00,283000,2,920,Average,Vinyl Siding,Comp Shingle,Carpet,1,0,4372,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2732,0.04136164,0.889824305,0.002196193,0.02489019,0,0.056734993,0.027818448,0.889458272,1646,0.943499392,0.056500608,94751459,57961
17,1,Y,1,7,4,1,1/4/16 0:00,185000,2,1120,Average,Common Brick,Built Up,Hardwood,1,0,1965,9600.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,0.015800204,0.950560652,0.002038736,0.000509684,0,0.039245668,0.02803262,0.811416922,998,0.928857715,0.071142285,42752988,35403
18,1,N,1,5,2,0,1/4/16 0:00,220000,5,880,Average,Common Brick,Built Up,Hardwood,1,0,2475,9600.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,0.015800204,0.950560652,0.002038736,0.000509684,0,0.039245668,0.02803262,0.811416922,998,0.928857715,0.071142285,42752988,35403
19,2,Y,1,5,3,1,1/4/16 0:00,195000,7,800,Good,Common Brick,Comp Shingle,Hardwood,1,0,2323,9900.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0.008487654,0.957561728,0.002314815,0.002314815,0,0.040123457,0.023919753,0.772376543,756,0.783068783,0.216931217,24288526,28732
20,2.5,Y,1,6,3,0,1/4/16 0:00,332000,3,1320,Excellent,Brick/Siding,Comp Shingle,Hardwood,1,0,3363,9900.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851,0.009184225,0.958400864,0.001620746,0.001080497,0,0.04376013,0.016207455,0.733657482,722,0.891966759,0.108033241,40012643,36360.5
21,2,Y,1,8,3,1,1/4/16 0:00,315000,3,1020,Good,Common Brick,Built Up,Hardwood/Carp,1,0,2911,9900.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2836,0.004583921,0.97425952,0.001410437,0.002115656,0.000352609,0.028208745,0.010578279,0.667489422,1176,0.932823129,0.067176871,33496320,23804.5
22,1.5,N,1,6,3,0,1/4/16 0:00,156000,4,960,Average,Common Brick,Built Up,Hardwood/Carp,1,0,2376,7600.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3644,0.040614709,0.936059276,0.002744237,0.002744237,0.000274424,0.024698134,0.016190999,0.818331504,1931,0.906266183,0.093733817,94079938,38093.5
23,2.5,N,1,7,3,0,1/4/16 0:00,205452,2,1735,Average,Wood Siding,Metal- Sms,Wood Floor,1,1,6367,7400.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2587,0.01236954,0.965983765,0.001159644,0.004252029,0,0.022033243,0.013915733,0.715114032,1203,0.906068163,0.093931837,56092745,32550
24,4,N,4,16,4,0,1/4/16 0:00,320100,2,2720,Average,Common Brick,Built Up,Hardwood,4,0,4252,9800.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,0.018229167,0.956054688,0.001302083,0.004231771,0,0.028320313,0.018880208,0.779947917,1551,0.87040619,0.12959381,55085531,30509
25,2,Y,1,6,3,1,1/5/16 0:00,778000,5,1350,Good,Common Brick,Built Up,Hardwood,1,1,827,4200.01,0,0,0,0,0,0,0,0,0,0,0,0,12.6644655,0,3342,0.814183124,0.071813285,0.00149611,0.064332735,0,0.049371634,0.079593058,0.964093357,2259,0.935369633,0.064630367,215579124,70930.5
26,1,N,1,6,3,0,1/5/16 0:00,530000,3,892,Average,Common Brick,Metal- Sms,Hardwood,1,0,1157,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3028,0.269484808,0.648612946,0.000990753,0.032034346,0,0.058784676,0.072985469,0.837846764,1465,0.86552901,0.13447099,109132266,46092.5
27,3,Y,2,6,3,1,1/5/16 0:00,875000,5,1620,Good,Brick/Siding,Metal- Sms,Hardwood,2,0,1797,6800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2084,0.449616123,0.490403071,0.002879079,0.018234165,0,0.048464491,0.045105566,0.841650672,1004,0.917330677,0.082669323,117623354,70190
28,6,Y,1,10,5,0,1/5/16 0:00,3950000,2,3840,Very Good,Common Brick,Metal- Sms,Hardwood,1,6,3323,100,0,0,0,0,0,0,0,0,0,0,0,0,3.277311696,0,4890,0.908793456,0.021472393,0.001840491,0.041104294,0.000408998,0.025562372,0.060531697,0.880368098,2999,0.895631877,0.104368123,698565228,110944.5
29,2.5,Y,1,7,4,1,1/5/16 0:00,785000,2,1964,Good,Stucco,Comp Shingle,Hardwood,1,1,4025,2000.02,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,3813,0.204038815,0.602412798,0.00367165,0.014162077,0.002360346,0.178599528,0.208234986,0.785208497,1436,0.928969359,0.071030641,137968594,39738.5
30,2.5,Y,1,10,4,1,1/5/16 0:00,322280,2,2524,Good,Wood Siding,Comp Shingle,Hardwood/Carp,1,3,7924,1700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,0.385779123,0.507564297,0.002269289,0.029878971,0.000378215,0.08698941,0.080181543,0.8596823,1312,0.9375,0.0625,118391616,59590
31,3.5,Y,1,10,4,1,1/5/16 0:00,740000,4,1660,Very Good,Common Brick,Metal- Sms,Hardwood,2,0,1700,2200.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3087,0.092322643,0.70521542,0.008422417,0.009070295,0.000323939,0.196307094,0.209912536,0.790411403,1434,0.887029289,0.112970711,76191464,34486
32,3.5,Y,2,8,5,1,1/5/16 0:00,940000,3,2086,Very Good,Common Brick,Built Up,Hardwood,2,2,1620,8700.01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2407,0.15953469,0.784378895,0.00166182,0.015787287,0.001246365,0.044869132,0.047361861,0.821769838,972,0.898148148,0.101851852,86810333,44960
33,3.5,Y,1,6,3,1,1/5/16 0:00,585000,4,1278,Very Good,Common Brick,Comp Shingle,Hardwood,1,0,6200,9500.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3290,0.078115502,0.857446809,0.003343465,0.009118541,0,0.059574468,0.071428571,0.846504559,1742,0.905855339,0.094144661,82172651,38670.5
34,3.5,Y,1,10,4,1,1/5/16 0:00,662000,5,1620,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,2200,8800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4119,0.074775431,0.875697985,0.007040544,0.008497208,0.000971109,0.041757708,0.041757708,0.801408109,1999,0.873436718,0.126563282,99751561,38882.5
35,1,Y,1,5,2,0,1/5/16 0:00,322270,2,952,Average,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,0,3816,9400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4163,0.088878213,0.832812875,0.005524862,0.010088878,0,0.072303627,0.063896229,0.815998078,1792,0.921316964,0.078683036,139399116,52796.5
36,1,Y,1,5,2,0,1/5/16 0:00,190000,3,832,Average,Common Brick,Built Up,Hardwood,1,0,1711,9600.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,0.015800204,0.950560652,0.002038736,0.000509684,0,0.039245668,0.02803262,0.811416922,998,0.928857715,0.071142285,42752988,35403
37,3.5,Y,1,6,3,0,1/5/16 0:00,343000,2,1440,Good,Stone/Siding,Comp Shingle,Hardwood/Carp,1,0,2000,9900.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2795,0.008586762,0.957423971,0.002504472,0.001073345,0.000715564,0.036851521,0.018604651,0.719856887,1330,0.830075188,0.169924812,40068077,28297
38,3,Y,2,11,3,0,1/6/16 0:00,980000,4,2239,Average,Common Brick,Metal- Sms,Wood Floor,2,2,1663,6500,0,0,0,0,0,0,0,0,0,0,0,0,5.221498581,0,2531,0.824970367,0.090082971,0.00513631,0.044646385,0.000395101,0.038324773,0.048597392,0.907151324,1543,0.855476345,0.144523655,156307500,92684
39,2.5,Y,1,8,3,0,1/6/16 0:00,1180000,4,1800,Good,Brick/Stone,Metal- Sms,Hardwood,1,0,1277,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3775,0.815099338,0.119735099,0.002913907,0.030198675,0.000529801,0.034701987,0.038940397,0.869668874,2008,0.929282869,0.070717131,302416019,101467.5
40,2.5,Y,1,6,3,1,1/6/16 0:00,795000,2,1608,Good,Brick/Stone,Metal- Sms,Hardwood,1,1,992,8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2910,0.782130584,0.145017182,0.003780069,0.025773196,0.000343643,0.04742268,0.045704467,0.876632302,1549,0.937378954,0.062621046,194119047,90338
41,1,N,1,6,3,0,1/6/16 0:00,740000,3,1274,Good,Common Brick,Metal- Sms,Wood Floor,1,1,722,6900,0,0,0,0,0,0,0,0,0,0,0,0,6.313038849,0,2179,0.644332263,0.291877008,0.003212483,0.027994493,0.000917852,0.03304268,0.039926572,0.866452501,1190,0.936134454,0.063865546,136440279,86964.5
42,1,Y,1,6,2,0,1/6/16 0:00,380000,6,960,Average,Common Brick,Metal- Sms,Hardwood,1,0,516,6800.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,0.33196511,0.61159569,0.001539251,0.015905593,0,0.04515136,0.037968189,0.865572088,977,0.900716479,0.099283521,90648226,61861
43,5.5,Y,1,11,6,1,1/6/16 0:00,2518750,2,4431,Good,Common Brick,Slate,Hardwood,1,2,10367,800.01,0,0,0,0,0,0,0,0,0,0,0,0,1.683999753,0,6709,0.852437025,0.047100909,0.000745268,0.055746013,0.000149054,0.045461321,0.085258608,0.848263527,3528,0.909013605,0.090986395,762051697,122703
44,3,Y,1,7,3,0,1/6/16 0:00,1100000,5,1804,Good,Wood Siding,Comp Shingle,Hardwood,1,1,5745,1200,0,0,0,0,0,0,0,0,0,0,0,0,2.126263117,0,5008,0.813298722,0.054313099,0.003594249,0.077476038,0.000599042,0.051317891,0.079672524,0.866214058,2633,0.955563995,0.044436005,340349324,89304
