SCHOOL_YEAR,SCHOOL_NAME,ASSESSMENT_TYPE,SUBJECT,TESTED_GRADE_SUBJECT,SUBGROUP,PERCENT_MEETING_OR_EXCEEDING_E,CENSUS_TRACT,high_school_english_75,high_school_english_25
2016-17,Benjamin Banneker HS,PARCC,ELA,Grades 9-12,All,89.90%,3500,1,1
2016-17,School Without Walls HS,PARCC,ELA,Grades 9-12,All,85.00%,5500,1,1
2016-17,BASIS DC PCS,PARCC,ELA,Grades 9-12,All,71.40%,5800,1,1
2016-17,Washington Latin PCS Upper School,PARCC,ELA,Grades 9-12,All,71.40%,2100.02,1,1
2016-17,Wilson HS,PARCC,ELA,Grades 9-12,All,54.10%,1100,1,1
2016-17,Duke Ellington School of the Arts,PARCC,ELA,Grades 9-12,All,46.70%,300,1,1
2016-17,McKinley Technology HS,PARCC,ELA,Grades 9-12,All,41.10%,8700.01,1,1
2016-17,EL Haynes PCS High School,PARCC,ELA,Grades 9-12,All,30.60%,2400,1,1
2016-17,KIPP DC College Preparatory Academy PCS,PARCC,ELA,Grades 9-12,All,30.40%,8800.03,1,1
2016-17,Capital City PCS High School,PARCC,ELA,Grades 9-12,All,29.20%,1900.02,0,1
2016-17,Thurgood Marshall Academy PCS,PARCC,ELA,Grades 9-12,All,27.80%,7400.01,0,1
2016-17,Columbia Heights EC,PARCC,ELA,Grades 9-12,All,27.10%,2800.02,0,1
2016-17,Richard Wright PCS for Journalism and Media Arts,PARCC,ELA,Grades 9-12,All,24.60%,7200,0,1
2016-17,Phelps Architecture Construction and Engineering HS,PARCC,ELA,Grades 9-12,All,23.00%,8900.04,0,1
2016-17,Washington Mathematics Science Technology PCHS,PARCC,ELA,Grades 9-12,All,20.80%,11100,0,1
2016-17,Eastern HS,PARCC,ELA,Grades 9-12,All,20.00%,6800.01,0,1
2016-17,Cesar Chavez PCS for Public Policy Parkside High School,PARCC,ELA,Grades 9-12,All,19.40%,9600.02,0,1
2016-17,SEED PCS of Washington DC,PARCC,ELA,Grades 9-12,All,19.00%,7700.03,0,1
2016-17,IDEA PCS,PARCC,ELA,Grades 9-12,All,15.50%,7800.06,0,1
2016-17,Coolidge HS,PARCC,ELA,Grades 9-12,All,15.10%,1900.02,0,1
2016-17,Somerset Preparatory Academy PCS,PARCC,ELA,Grades 9-12,All,14.30%,9800.04,0,1
2016-17,Friendship PCS Technology Preparatory Academy High School,PARCC,ELA,Grades 9-12,All,13.30%,10400,0,1
2016-17,Friendship PCS Collegiate Academy,PARCC,ELA,Grades 9-12,All,12.50%,7800.03,0,1
2016-17,Cesar Chavez PCS for Public Policy Capitol Hill,PARCC,ELA,Grades 9-12,All,11.50%,7100,0,1
2016-17,Roosevelt HS,PARCC,ELA,Grades 9-12,All,9.40%,2500.01,0,1
2016-17,Ballou HS,PARCC,ELA,Grades 9-12,All,8.90%,9800.03,0,1
2016-17,Paul PCS International High School,PARCC,ELA,Grades 9-12,All,8.90%,1900.01,0,1
2016-17,Woodson H D HS,PARCC,ELA,Grades 9-12,All,8.40%,7800.07,0,0
2016-17,National Collegiate Preparatory PCHS,PARCC,ELA,Grades 9-12,All,7.70%,9800.11,0,0
2016-17,Dunbar HS,PARCC,ELA,Grades 9-12,All,6.10%,4600,0,0
2016-17,Cardozo EC,PARCC,ELA,Grades 9-12,All,5.30%,3600,0,0
2016-17,Anacostia HS,PARCC,ELA,Grades 9-12,All,3.80%,7600.01,0,0
2016-17,Kingsman Academy PCS,PARCC,ELA,Grades 9-12,All,0.00%,8000.01,0,0
2016-17,Luke Moore Alternative HS,PARCC,ELA,Grades 9-12,All,0.00%,9300.01,0,0
2016-17,Maya Angelou PCS - High School,PARCC,ELA,Grades 9-12,All,0.00%,7800.08,0,0
2016-17,Washington Metropolitan HS,PARCC,ELA,Grades 9-12,All,0.00%,3400,0,0
