Census Tracts,grade_5_english_75,grade_5_english_25,grade_5_math_75,grade_5_math_25,grade_8_english_75,grade_8_english_25,grade_8_math_75,grade_8_math_25,grade_8_english_75,grade_8_english_25,grade_8_math_75,grade_8_math_25,,Total
100,0,0,0,0,0,0,0,0,0,0,0,0,,0
200.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
200.02,0,0,0,0,1,1,0,1,0,0,2,2,,7
300,0,0,0,0,0,0,0,0,1,1,0,1,,3
400,0,0,0,0,0,0,0,0,0,0,0,0,,0
500.01,1,1,1,1,1,1,0,0,0,0,2,2,,10
500.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
600,2,2,2,2,0,0,0,0,0,0,0,0,,8
700.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
700.02,1,1,1,1,0,0,0,0,0,0,0,0,,4
800.01,1,1,1,1,0,0,0,0,0,0,0,0,,4
800.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
900.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
900.02,1,1,1,1,0,0,0,0,0,0,0,0,,4
1000.01,1,1,1,1,0,0,0,0,0,0,0,0,,4
1000.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
1100,1,1,1,1,1,1,0,1,1,1,3,4,,16
1200,0,0,0,0,0,0,0,0,0,0,0,0,,0
1300.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
1300.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
1400.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
1400.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
1500,1,1,1,1,0,0,0,0,0,0,0,0,,4
1600,1,1,1,1,0,0,0,0,0,0,0,0,,4
1700.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
1800.03,0,0,0,0,1,1,1,1,0,0,0,0,,4
1800.04,0,0,0,0,0,0,0,0,0,0,0,0,,0
1900.01,0,0,0,0,0,1,1,1,0,1,0,1,,5
1900.02,0,2,0,2,0,2,0,1,0,2,0,3,,12
2000.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
2000.02,0,1,1,1,0,0,0,0,0,0,0,1,,4
2100.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
2100.02,1,2,1,2,1,2,2,2,1,1,1,1,,17
2200.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
2200.02,1,1,0,1,0,0,0,0,0,0,0,0,,3
2300.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
2300.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
2400,0,2,0,2,0,1,0,0,1,1,0,3,,10
