Census Tracts,grade_5_english_75,grade_5_english_25,grade_5_math_75,grade_5_math_25,grade_8_english_75,grade_8_english_25,grade_8_math_75,grade_8_math_25,grade_9_12_english_75,grade_9_12_english_25,grade_9_12_math_75,grade_9_12_math_25,number_schools_5,number_schools_8,number_schools_9_12,,,,starbucks,mcdonalds
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3
200.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1
200.02,0,0,0,0,1,1,0,1,0,0,2,2,0,2,2,,,,1,1
300,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,,,,1,1
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
500.01,1,1,1,1,1,1,0,0,0,0,2,2,2,1,2,,,,0,0
500.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1
600,2,2,2,2,0,0,0,0,0,0,0,0,4,0,0,,,,0,0
700.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
700.02,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
800.01,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,,,2,2
800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
900.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1
900.02,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,,,1,1
1000.01,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
1000.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
1100,1,1,1,1,1,1,0,1,1,1,3,4,2,2,5,,,,3,3
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1
1300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
1300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
1400.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
1400.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
1500,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
1600,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
1700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
1800.03,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,,,,0,0
1800.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
1900.01,0,0,0,0,0,1,1,1,0,1,0,1,0,2,2,,,,1,1
1900.02,0,2,0,2,0,2,0,1,0,2,0,3,4,4,6,,,,0,0
2000.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
2000.02,0,1,1,1,0,0,0,0,0,0,0,1,2,2,1,,,,0,0
2100.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
2100.02,1,2,1,2,1,2,2,2,1,1,1,1,4,4,2,,,,0,0
2200.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
2200.02,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
2300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
2300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
2400,0,2,0,2,0,1,0,0,1,1,0,3,4,2,4,,,,0,0
2500.01,0,1,0,1,0,0,0,0,0,1,0,1,2,0,2,,,,0,0
2500.02,0,1,0,2,0,1,0,1,0,0,0,0,4,2,0,,,,0,0
2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
2700.01,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
2700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
2800.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
2800.02,0,0,0,0,0,1,0,0,0,1,0,2,0,1,3,,,,1,1
2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
3000,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,1,1
3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
3200,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,0,0
3300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
3300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
3400,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,,,,1,1
3500,1,1,1,1,0,0,0,0,1,1,1,1,2,0,2,,,,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,0,0
3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
3800,0,2,1,2,0,0,0,0,0,0,0,0,4,0,0,,,,0,0
3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
4000.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1
4000.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
4200.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1
4200.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
4400,0,2,0,2,0,1,0,1,0,0,0,0,4,2,0,,,,1,1
4600,1,2,0,2,0,0,0,0,0,0,0,0,4,0,2,,,,0,0
4700.01,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,,,,1,1
4700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
4800.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
4800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
4900.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
4900.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0
5000.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
5000.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
5200.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0
5300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
5500,0,1,1,1,1,1,0,0,1,1,1,1,2,2,2,,,,4,0
5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0
5800,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,,,11,0
5900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0
6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0
6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
6800.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,0,0
6800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
