Census Tracts,grade_5_english_75_N,grade_5_english_25_N,grade_5_math_75_N,grade_5_math_25_N,grade_8_english_75_N,grade_8_english_25_N,grade_8_math_75_N,grade_8_math_25_N,grade_9_12_english_75_N,grade_9_12_english_25_N,grade_9_12_math_75_N,grade_9_12_math_25_N,Starbucks_count_N,McDonalds_count_N,,,,,,,,,,,,,,
100,0,0,0,0,0,0,0,0,0,0,0,0,3.277311696,0,,,,,,,,,,,,,,
200.01,0,0,0,0,0,0,0,0,0,0,0,0,4.800257908,0,,,,,,,,,,,,,,
200.02,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,2.098089151,0,,,,,,,,,,,,,,
300,0,0,0,0,0,0,0,0,0,0,0,0,2.533617943,0,,,,,,,,,,,,,,
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
500.01,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,
500.02,0,0,0,0,0,0,0,0,0,0,0,0,4.45439854,0,,,,,,,,,,,,,,
600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
700.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
800.01,0,0,0,0,0,0,0,0,0,0,0,0,1.683999753,0,,,,,,,,,,,,,,
800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
900.01,0,0,0,0,0,0,0,0,0,0,0,0,0.855198661,0,,,,,,,,,,,,,,
900.02,0,0,0,0,0,0,0,0,0,0,0,0,1.187820478,0,,,,,,,,,,,,,,
1000.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1000.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1100,0.333333333,0.333333333,0.333333333,0.333333333,0.25,0.25,0,0.25,0.5,0.5,1.5,2,4.634837814,0,,,,,,,,,,,,,,
1200,0,0,0,0,0,0,0,0,0,0,0,0,2.126263117,0,,,,,,,,,,,,,,
1300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1400.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1400.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1800.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1800.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1900.01,0,0,0,0,0,1,1,1,0,0,0,0,3.367690625,0,,,,,,,,,,,,,,
1900.02,0,0,0,0,0,0.666666667,0,0.333333333,0,0.5,0,0.75,0,0,,,,,,,,,,,,,,
2000.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2000.02,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,,,,,,,,,,,,,,
2100.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2100.02,1,2,1,2,1,2,2,2,0.25,0.25,0.25,0.25,0,0,,,,,,,,,,,,,,
2200.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2200.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2400,0,0,0,0,0,0.333333333,0,0,0.25,0.25,0,0.75,0,0,,,,,,,,,,,,,,
2500.01,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,,,,,,,,,,,,,,
2500.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2700.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2800.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2800.02,0,0,0,0,0,0.5,0,0,0,0,0,0,11.35888241,0,,,,,,,,,,,,,,
2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3000,0,0,0,0,0,0,0,0,0,0,0,0,12.22183411,0,,,,,,,,,,,,,,
3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3400,0,0,0,0,0,0,0,0,0,0,0,0,2.403627632,0,,,,,,,,,,,,,,
3500,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0,6.78308245,,,,,,,,,,,,,,
3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3800,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27920815,,,,,,,,,,,,,,
3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4000.01,0,0,0,0,0,0,0,0,0,0,0,0,9.389320474,0,,,,,,,,,,,,,,
4000.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
